,id,round_number,owner,name,timestamp,body,balance,tick_number,n_transactions,participant_code,session_code,treatment,player.intermediary_payoff
3147,4061,4,Player object (1182),buy,2023-03-09 20:34:15.408914+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 42, ""market"": ""A""}",60.0,7.0,2.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3148,4062,4,Player object (1182),sell,2023-03-09 20:34:19.673341+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 46, ""market"": ""A""}",200.0,8.0,3.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3149,4063,4,Player object (1182),buy,2023-03-09 20:34:24.920842+00:00,"{""priceA"": 135, ""sharesA"": 1, ""secs_since_round_starts"": 51, ""market"": ""A""}",65.0,9.0,4.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3150,4064,4,Player object (1182),PREDICTIONS_SENT,2023-03-09 20:36:33.784409+00:00,"{""priceA"": 60, ""sharesA"": 1, ""secs_since_round_starts"": 180, ""action"": ""predictions_send"", ""stockUpA"": 4, ""confidenceA"": 3}",65.0,30.0,4.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3151,4065,4,Player object (1182),sell,2023-03-09 20:37:09.522337+00:00,"{""priceA"": 90, ""sharesA"": 0, ""secs_since_round_starts"": 216, ""market"": ""A""}",155.0,37.0,5.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3152,4066,4,Player object (1182),buy,2023-03-09 20:37:12.947547+00:00,"{""priceA"": 85, ""sharesA"": 1, ""secs_since_round_starts"": 219, ""market"": ""A""}",70.0,38.0,6.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3153,4067,4,Player object (1182),sell,2023-03-09 20:37:33.198213+00:00,"{""priceA"": 90, ""sharesA"": 0, ""secs_since_round_starts"": 240, ""market"": ""A""}",160.0,41.0,7.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3154,4068,4,Player object (1182),buy,2023-03-09 20:37:35.994859+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 242, ""market"": ""A""}",55.0,42.0,8.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3155,4069,4,Player object (1182),sell,2023-03-09 20:37:48.276862+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 255, ""market"": ""A""}",165.0,44.0,9.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3156,4070,4,Player object (1182),buy,2023-03-09 20:37:51.730723+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 258, ""market"": ""A""}",65.0,45.0,10.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3157,4071,4,Player object (1182),sell,2023-03-09 20:37:58.152649+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 265, ""market"": ""A""}",175.0,46.0,11.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3158,4072,4,Player object (1182),buy,2023-03-09 20:38:02.856984+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 269, ""market"": ""A""}",55.0,47.0,12.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3159,4073,4,Player object (1182),sell,2023-03-09 20:38:08.526725+00:00,"{""priceA"": 125, ""sharesA"": 0, ""secs_since_round_starts"": 275, ""market"": ""A""}",180.0,48.0,13.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3160,4074,4,Player object (1182),buy,2023-03-09 20:38:16.317167+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 283, ""market"": ""A""}",40.0,49.0,14.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3161,4075,4,Player object (1182),sell,2023-03-09 20:38:47.772659+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 314, ""market"": ""A""}",160.0,55.0,15.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3162,4076,4,Player object (1182),buy,2023-03-09 20:39:05.117369+00:00,"{""priceA"": 155, ""sharesA"": 1, ""secs_since_round_starts"": 332, ""market"": ""A""}",5.0,58.0,16.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3163,4077,4,Player object (1182),GAME_ENDS,2023-03-09 20:39:12.842053+00:00,"{""priceA"": 160, ""sharesA"": 1, ""secs_since_round_starts"": 339}",5.0,60.0,16.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3164,4246,4,Player object (1183),GAME_STARTS,2023-03-09 22:02:27.082246+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,i6yb4yej,vmu7c279,FULL STUDY,210.0
3165,4247,4,Player object (1183),PREDICTIONS_SENT,2023-03-09 22:02:32.320594+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 5, ""action"": ""predictions_send"", ""stockUpA"": 3, ""confidenceA"": 5}",50.0,,,i6yb4yej,vmu7c279,FULL STUDY,210.0
3166,4248,4,Player object (1183),sell,2023-03-09 22:03:18.002484+00:00,"{""priceA"": 95, ""sharesA"": 0, ""secs_since_round_starts"": 50, ""market"": ""A""}",145.0,10.0,1.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3167,4249,4,Player object (1183),buy,2023-03-09 22:04:20.366201+00:00,"{""priceA"": 55, ""sharesA"": 1, ""secs_since_round_starts"": 113, ""market"": ""A""}",90.0,21.0,2.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3168,4250,4,Player object (1183),PREDICTIONS_SENT,2023-03-09 22:05:20.127420+00:00,"{""priceA"": 80, ""sharesA"": 1, ""secs_since_round_starts"": 173, ""action"": ""predictions_send"", ""stockUpA"": 2, ""confidenceA"": 4}",90.0,30.0,2.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3169,4251,4,Player object (1183),sell,2023-03-09 22:05:43.748512+00:00,"{""priceA"": 85, ""sharesA"": 0, ""secs_since_round_starts"": 196, ""market"": ""A""}",175.0,35.0,3.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3170,4252,4,Player object (1183),buy,2023-03-09 22:05:50.276407+00:00,"{""priceA"": 70, ""sharesA"": 1, ""secs_since_round_starts"": 203, ""market"": ""A""}",105.0,36.0,4.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3171,4253,4,Player object (1183),sell,2023-03-09 22:06:03.298508+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 216, ""market"": ""A""}",185.0,38.0,5.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3172,4254,4,Player object (1183),buy,2023-03-09 22:06:12.716173+00:00,"{""priceA"": 80, ""sharesA"": 1, ""secs_since_round_starts"": 225, ""market"": ""A""}",105.0,40.0,6.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3173,4255,4,Player object (1183),sell,2023-03-09 22:06:32.585771+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 245, ""market"": ""A""}",205.0,44.0,7.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3174,4256,4,Player object (1183),buy,2023-03-09 22:06:44.724552+00:00,"{""priceA"": 85, ""sharesA"": 1, ""secs_since_round_starts"": 257, ""market"": ""A""}",120.0,46.0,8.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3175,4257,4,Player object (1183),sell,2023-03-09 22:06:50.692485+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 263, ""market"": ""A""}",220.0,47.0,9.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3176,4258,4,Player object (1183),buy,2023-03-09 22:07:02.329583+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 275, ""market"": ""A""}",100.0,49.0,10.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3177,4259,4,Player object (1183),sell,2023-03-09 22:07:06.136545+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 279, ""market"": ""A""}",205.0,50.0,11.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3178,4260,4,Player object (1183),buy,2023-03-09 22:07:31.133482+00:00,"{""priceA"": 70, ""sharesA"": 1, ""secs_since_round_starts"": 304, ""market"": ""A""}",135.0,54.0,12.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3179,4261,4,Player object (1183),GAME_ENDS,2023-03-09 22:07:59.432546+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 332}",135.0,60.0,12.0,i6yb4yej,vmu7c279,FULL STUDY,210.0
3180,4375,4,Player object (1187),GAME_STARTS,2023-03-09 22:55:14.357347+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,aqvtf4p9,vmu7c279,FULL STUDY,105.0
3181,4377,4,Player object (1187),PREDICTIONS_SENT,2023-03-09 22:55:24.824345+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 10, ""action"": ""predictions_send"", ""stockUpA"": 4, ""confidenceA"": 2}",50.0,,,aqvtf4p9,vmu7c279,FULL STUDY,105.0
