Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6436c93964b68911426df701,5f76884e077186131e17d851,APPROVED,2023-04-12T15:12:46.854000Z,2023-04-12T15:50:24.892000Z,2023-04-12T15:50:30.749000,2023-04-12T15:50:25.570813Z,2259,C14JUVP6,1064,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6436c95381eff99c0b1d73f5,63b2d04ed0f53f75de4ba38e,APPROVED,2023-04-12T15:08:03.411000Z,2023-04-12T15:47:06.957000Z,2023-04-12T15:47:08.100000,2023-04-12T15:47:07.972926Z,2344,C14JUVP6,148,English,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c95466678722ac25226a,640ce3e5772a5a2776ccddb5,APPROVED,2023-04-12T15:09:17.980000Z,2023-04-12T15:44:30.725000Z,2023-04-12T15:44:31.897000Z,2023-04-12T15:44:32.393228Z,2113,C14JUVP6,53,English,62,Female,White,Ireland,United Kingdom,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c955460d331ae67e4eab,615df15772fbf6ba104032fe,APPROVED,2023-04-12T15:10:35.239000Z,2023-04-12T15:46:18.625000Z,2023-04-12T15:46:29.654000,2023-04-12T15:46:19.475591Z,2144,C14JUVP6,354,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c95a9da765c34d94da2d,63ed057fe2484eb2c8576754,APPROVED,2023-04-12T15:08:33.688000Z,2023-04-12T15:45:45.946000Z,2023-04-12T15:45:47.486000,2023-04-12T15:45:47.368886Z,2233,C14JUVP6,44,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c95e5161a58db38cedaa,5ea0516dee594a000932857a,REJECTED,2023-04-12T15:09:26.071000Z,2023-04-12T15:47:38.460000Z,2023-04-12T17:13:22.121000Z,2023-04-12T15:47:39.409000Z,2293,NOCODE,1060,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6436c95e94f0699803b94af5,5aaa73e3f8a57d00010fe416,APPROVED,2023-04-12T15:09:25.886000Z,2023-04-12T15:43:12.613000Z,2023-04-12T15:43:16.121000,2023-04-12T15:43:14.364675Z,2027,C14JUVP6,371,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c95fdd1bb2a7e69b79c8,5d812e3c613aa900188746a6,APPROVED,2023-04-12T15:08:15.019000Z,2023-04-12T15:54:17.356000Z,2023-04-12T18:15:00.960000Z,2023-04-12T15:54:18.004000Z,2763,NOCODE,1000,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6436c964cf7a42f72d29bf7b,6401a92fa70fe5c6eebb1aec,APPROVED,2023-04-12T15:08:52.665000Z,2023-04-12T15:40:30.704000Z,2023-04-12T15:40:31.578000,2023-04-12T15:40:31.466319Z,1899,C14JUVP6,89,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c9652f216eee21fb156e,60e85190b9cffd8fed0a064f,APPROVED,2023-04-12T15:09:38.285000Z,2023-04-12T15:53:02.511000Z,2023-04-12T15:53:15.530000,2023-04-12T15:53:03.255707Z,2605,C14JUVP6,1037,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6436c96899c4f7083de05f23,5cdd6db6c07328001a4bf67e,APPROVED,2023-04-12T15:09:28.318000Z,2023-04-12T15:42:56.851000Z,2023-04-12T15:42:58.890000,2023-04-12T15:42:58.784145Z,2009,C14JUVP6,55,English,40,Female,White,New Zealand,United Kingdom,New Zealand,English,No,Part-Time
6436c969e6efaf069764fbbc,601fe0de101ae05414812f4d,APPROVED,2023-04-12T15:08:49.965000Z,2023-04-12T15:41:43.788000Z,2023-04-12T15:41:45.699000,2023-04-12T15:41:45.557486Z,1974,C14JUVP6,1090,"English, Norwegian, Polish",27,Female,White,Poland,United Kingdom,United Kingdom,Polish,No,Full-Time
6436c96ba06508265b22688a,5d02c0e382e4f00001aa20cd,APPROVED,2023-04-12T15:08:27.968000Z,2023-04-12T15:45:38.282000Z,2023-04-12T15:45:39.023000,2023-04-12T15:45:38.901564Z,2231,C14JUVP6,1536,"English, French, Spanish",51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c96ce1cf91154a9a1da1,64137087a26baa97a1348ce7,APPROVED,2023-04-12T15:08:28.641000Z,2023-04-12T15:57:06.968000Z,2023-04-12T15:57:07.986000,2023-04-12T15:57:08.102706Z,2919,C14JUVP6,64,English,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6436c96d84cc07eeb0f67afa,5c33668916da980001530dab,APPROVED,2023-04-12T15:08:29.032000Z,2023-04-12T15:45:08.207000Z,2023-04-12T15:45:11.334000,2023-04-12T15:45:10.403203Z,2200,C14JUVP6,1186,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c9722b7e76da6f97fb47,61377f1af63764011235d8a0,APPROVED,2023-04-12T15:10:28.907000Z,2023-04-12T15:49:20.631000Z,2023-04-12T15:49:21.517000,2023-04-12T15:49:21.402767Z,2332,C14JUVP6,738,English,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6436c973556eed6dc6355004,632aa1271f930bbc655a32d8,APPROVED,2023-04-12T15:08:35.009000Z,2023-04-12T15:54:51.300000Z,2023-04-12T15:54:52.380000Z,2023-04-12T15:54:53.535382Z,2777,C14JUVP6,327,English,24,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6436c9737b90e8753eb98403,63f8b081b083f1e1014cb21a,APPROVED,2023-04-12T15:09:01.938000Z,2023-04-12T15:50:48.053000Z,2023-04-12T15:50:50.677000,2023-04-12T15:50:48.736818Z,2507,C14JUVP6,6,"Urdu, English",31,Male,Asian,Afghanistan,United Kingdom,United Kingdom,Urdu,No,Full-Time
6436c9784166315845425956,5ed005980fdb830a7bfeaf4b,APPROVED,2023-04-12T15:09:19.317000Z,2023-04-12T16:20:49.977000Z,2023-04-12T16:20:53.819000,2023-04-12T16:20:50.604595Z,4291,C14JUVP6,1067,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6436c9785654a2a6ee089fa5,615d82afb66c6eada869754a,APPROVED,2023-04-12T15:09:11.557000Z,2023-04-12T15:46:23.829000Z,2023-04-12T15:46:24.549000,2023-04-12T15:46:24.410609Z,2233,C14JUVP6,669,English,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c978d3589905ea5930e3,5f450738ab827a05e739ef40,APPROVED,2023-04-12T15:08:40.414000Z,2023-04-12T15:53:15.881000Z,2023-04-12T15:53:16.805000,2023-04-12T15:53:16.443579Z,2676,C14JUVP6,780,"English, Lithuanian, Russian",29,Male,White,Lithuania,United Kingdom,Lithuania,Lithuanian,Yes,Full-Time
6436c97c4166315845425958,6078661a148492f9436d8bb0,APPROVED,2023-04-12T15:09:18.149000Z,2023-04-12T15:48:25.014000Z,2023-04-12T15:48:29.020000,2023-04-12T15:48:25.971247Z,2347,C14JUVP6,716,"English, Spanish",63,Male,White,Gibraltar,United Kingdom,United Kingdom,English,No,Full-Time
6436c9811a01aaf760b30486,5e3d71c28eb5270274d528b8,APPROVED,2023-04-12T15:09:34.400000Z,2023-04-12T15:55:32.905000Z,2023-04-12T15:55:33.652000Z,2023-04-12T15:55:34.151713Z,2759,C14JUVP6,1106,"English, German",70,Female,Mixed,Austria,United Kingdom,United Kingdom,German,No,Part-Time
6436c981a4b7bc39424ccc90,5ee64d0bf796cb3b252a8c99,APPROVED,2023-04-12T15:08:59.408000Z,2023-04-12T15:51:15.543000Z,2023-04-12T15:51:16.571000,2023-04-12T15:51:16.452721Z,2537,C14JUVP6,1572,"English, German, Spanish",58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c9829fcabd94bbb983fd,5ad5efefe2338200017798d4,APPROVED,2023-04-12T15:09:18.279000Z,2023-04-12T15:54:55.963000Z,2023-04-12T15:54:59.473000,2023-04-12T15:54:56.685059Z,2738,C14JUVP6,269,English,28,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
6436c983c95cfbf4b60c90d3,59b555702a78fd00010b86d4,APPROVED,2023-04-12T15:08:51.024000Z,2023-04-12T15:44:03.172000Z,2023-04-12T15:44:03.926000Z,2023-04-12T15:44:04.488022Z,2113,C14JUVP6,880,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6436c98496c62a0b5e22f086,5b1562981e55760001ba1e64,APPROVED,2023-04-12T15:08:59.884000Z,2023-04-12T15:41:53.903000Z,2023-04-12T15:41:54.697000,2023-04-12T15:41:54.586025Z,1975,C14JUVP6,1687,English,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c98575f21c142411607b,5dd650d749f6075e1eccc352,APPROVED,2023-04-12T15:08:57.104000Z,2023-04-12T15:46:11.170000Z,2023-04-12T15:46:16.690000,2023-04-12T15:46:16.589047Z,2235,C14JUVP6,1133,"English, Greek",55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c98593a0ff235ddb3363,5f6c423e8071b21b35b07ea6,APPROVED,2023-04-12T15:10:00.100000Z,2023-04-12T15:45:31.950000Z,2023-04-12T15:45:34.162000,2023-04-12T15:45:34.040516Z,2132,C14JUVP6,1029,"Afrikaans, English",64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c9882a8afbde6c11609c,5c3f3ae7d831ed0001f78c4f,APPROVED,2023-04-12T15:15:57.538000Z,2023-04-12T15:56:33.437000Z,2023-04-12T15:56:34.137000,2023-04-12T15:56:34.018609Z,2436,C14JUVP6,736,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
