,participant_code,player.inner_name,profit_nongamified,profit_gamified,accuracy_pred_zero_mean,prediction_accuracy_mean,player.knowledge,overconfidence,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti
2216,p2b5yeu0,s1,215.0,100.0,0.5,0.8333333333333334,6.0,-0.3166666666666667,30.0,11.0,Female,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0
2219,p4944w8u,s3,185.0,140.0,0.0,0.8125,4.0,-0.6,26.0,12.0,Male,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,1.0,1.0
2223,p598x5a9,s2,180.0,160.0,0.5,0.75,5.0,0.16666666666666666,42.0,4.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
2227,p5rcq3i8,s3,225.0,230.0,0.5,0.75,7.0,-0.21666666666666665,29.0,11.0,Male,0.0,0.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,5.0,5.0
2229,p8emdktl,s1,185.0,202.5,0.5,0.875,4.0,-0.5166666666666666,59.0,11.0,Female,0.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,3.0,4.0
2233,p8qg4sh0,s1,80.0,195.0,0.5,0.8333333333333334,3.0,-0.1166666666666667,57.0,5.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0
2236,pa2kf7mm,s1,77.5,77.5,0.0,1.0,10.0,0.0,44.0,12.0,Male,0.0,1.0,0.0,Design 1,Design 1,Only trade on Design #1,,1.0,1.0
2240,paxg5dw6,s4,180.0,182.5,0.5,0.8333333333333334,5.0,0.16666666666666669,24.0,4.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2243,pjp1lque,s2,190.0,195.0,0.3333333333333333,0.6666666666666666,1.0,-0.5666666666666667,20.0,8.0,Female,0.0,0.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,
2246,pkguo06n,s3,225.0,205.0,0.16666666666666666,0.6666666666666666,3.0,-0.2833333333333334,38.0,7.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,1.0,1.0,1.0
2249,pl0yvc4r,s4,177.5,170.0,0.0,0.75,3.0,-0.7,47.0,12.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
2252,pl5cn8rw,s2,162.5,170.0,0.5,0.6666666666666666,7.0,-0.30000000000000004,68.0,12.0,Male,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,2.0,,
2255,poyrt7mw,s4,152.5,190.0,0.375,0.875,5.0,0.08333333333333331,40.0,5.0,Male,0.0,0.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",3.0,,
2259,punmb7td,s2,192.5,185.0,0.5,0.75,5.0,-0.33333333333333337,70.0,10.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2263,pvofigno,s2,180.0,182.5,0.0,0.9166666666666666,5.0,-0.5,33.0,12.0,Male,0.0,0.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",3.0,,
2266,pxakoqpn,s1,175.0,192.5,0.5,0.625,1.0,-0.5666666666666667,2.0,8.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,,4.0,5.0
2270,q0tpevrm,s2,190.0,155.0,0.6666666666666666,0.6666666666666666,2.0,-0.1333333333333333,24.0,4.0,Male,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2273,q1ljacdo,s1,177.5,172.5,0.375,0.75,4.0,-0.43333333333333335,45.0,10.0,Female,0.0,1.0,1.0,Design 2,Design 1,"Have an option between Design #1 and Design #2,",,1.0,3.0
2277,q2g7lq56,s2,175.0,197.5,0.375,0.8125,10.0,0.08333333333333337,61.0,11.0,Male,1.0,1.0,0.0,Design 1,Design 1,Only trade on Design #1,5.0,,
2281,q3sn5z5z,s4,227.5,145.0,0.125,0.75,5.0,-0.41666666666666663,44.0,11.0,Male,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,
2285,q6w2vs9m,s2,210.0,202.5,0.5,0.75,6.0,-0.31666666666666665,21.0,11.0,Male,1.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",2.0,,
2289,q835gg1p,s4,170.0,205.0,0.125,0.75,4.0,-0.2666666666666666,19.0,8.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2293,qab5ojsz,s1,200.0,157.5,0.5,0.75,2.0,-0.8000000000000002,53.0,12.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0
2297,qc0fyf53,s4,212.5,187.5,0.5,0.6875,4.0,-0.4333333333333334,52.0,10.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2301,qce4k4ri,s4,210.0,165.0,0.25,0.75,7.0,0.28333333333333327,26.0,5.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2305,qf34anpg,s1,207.5,190.0,0.5,0.75,8.0,-0.19999999999999996,32.0,12.0,Male,1.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,3.0,3.0
2309,qh7x4txt,s1,172.5,220.0,0.3333333333333333,0.9166666666666666,6.0,-0.31666666666666665,29.0,11.0,Male,0.0,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,1.0,2.0
2312,qihm28ir,s1,267.5,145.0,0.375,0.75,2.0,-0.21666666666666667,31.0,5.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,3.0,4.0
2316,qjwcljrj,s4,185.0,190.0,0.5,0.75,8.0,0.050000000000000044,29.0,9.0,Male,0.0,0.0,0.0,Design 2,Design 1,"Have an option between Design #1 and Design #2,",4.0,,
